teamId,location,name,abbreviation,displayName,shortDisplayName,color,alternateColor,logoURL,venueId,slug
394,Preston North End,Preston North End,PNE,Preston North End,Preston,ffffff,87cced,https://a.espncdn.com/i/teamlogos/soccer/500/394.png,201,eng.preston
395,Watford,Watford,WAT,Watford,Watford,ffff00,1D428A,https://a.espncdn.com/i/teamlogos/soccer/500/395.png,203,eng.watford
396,Crewe Alexandra,Crewe Alexandra,CAX,Crewe Alexandra,Crewe,C8142F,FECD32,https://a.espncdn.com/i/teamlogos/soccer/500/396.png,6258,eng.crewe
397,Barnsley,Barnsley,BAR,Barnsley,Barnsley,f42727,065035,https://a.espncdn.com/i/teamlogos/soccer/500/397.png,196,eng.barnsley
398,Sheffield United,Sheffield United,SHU,Sheffield United,Sheffield Utd,f42727,1D428A,https://a.espncdn.com/i/teamlogos/soccer/500/398.png,6291,eng.sheff_utd
399,Sheffield Wednesday,Sheffield Wednesday,SHW,Sheffield Wednesday,Sheffield Wed,0000ff,ff4f00,https://a.espncdn.com/i/teamlogos/soccer/500/399.png,183,eng.sheff_wed
400,Stockport County,Stockport County,STO,Stockport County,Stockport,0000FF,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/400.png,133,eng.stockport
401,Walsall,Walsall,WAL,Walsall,Walsall,C8142F,74f544,https://a.espncdn.com/i/teamlogos/soccer/500/401.png,134,eng.walsall
402,Rotherham United,Rotherham United,ROT,Rotherham United,Rotherham,f42727,1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/402.png,6290,eng.rotherham
403,Alloa Athletic,Alloa Athletic,ALL,Alloa Athletic,Alloa,F7AA25,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/403.png,6307,sco.alloa
404,Clydebank,Clydebank,CLY,Clydebank,Clydebank,1a1a1a,C60000,,0,sco.clydebank
405,Stenhousemuir,Stenhousemuir,STE,Stenhousemuir,Stenhousem'r,8E003B,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/405.png,173,sco.stenhousemuir
406,Queen of the South,Queen of the South,QOS,Queen of the South,Queens,000099,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/406.png,172,sco.queen_of_south
407,Stranraer,Stranraer,STR,Stranraer,Stranraer,000099,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/407.png,186,sco.stranraer
408,Forfar Athletic,Forfar Athletic,FOR,Forfar Athletic,Forfar,000099,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/408.png,241,sco.forfar
409,Hamilton Academical,Hamilton Academical,HAM,Hamilton Academical,Hamilton,C60000,203d5c,https://a.espncdn.com/i/teamlogos/soccer/500/409.png,254,sco.hamilton
410,Cowdenbeath,Cowdenbeath,COW,Cowdenbeath,Cowdenbeath,000099,C60000,,171,sco.cowdenbeath
411,Greenock Morton,Greenock Morton,MORT,Greenock Morton,Morton,000099,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/411.png,242,sco.morton
412,Berwick Rangers,Berwick Rangers,BER,Berwick Rangers,Berwick,F7AA25,C60000,,240,sco.berwick
413,Brechin City,Brechin City,BRC,Brechin City,Brechin,BA1847,C60000,,0,sco.brechin
414,Montrose,Montrose,MON,Montrose,Montrose,3366CC,C60000,,245,sco.montrose
415,Dumbarton,Dumbarton,DUM,Dumbarton,Dumbarton,F7AA25,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/415.png,6309,sco.dumbarton
416,Peterhead,Peterhead,PET,Peterhead,Peterhead,000099,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/416.png,177,sco.peterhead
417,Stirling Albion,Stirling Albion,STI,Stirling Albion,Stirling,C8142F,C60000,,246,sco.stirling
418,East Stirlingshire,East Stirlingshire,EST,East Stirlingshire,E Stirlingshire,1a1a1a,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/418.png,173,sco.east_stirling
419,Elgin City,Elgin City,ELG,Elgin City,Elgin,1a1a1a,C60000,,244,sco.elgin
420,Albion Rovers,Albion Rovers,ARFC,Albion Rovers,Albion,F7AA25,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/420.png,174,sco.albion
421,East Fife,East Fife,EFIF,East Fife,East Fife,F7AA25,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/421.png,1342,sco.east_fife
422,Queen's Park,Queen's Park,QUE,Queen's Park,Queen's Park,1a1a1a,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/422.png,178,sco.queens_park
432,Galatasaray,Galatasaray,GAL,Galatasaray,Galatasaray,aa0031,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/432.png,4987,tur.galatasaray
433,Sparta Prague,Sparta Prague,SPP,Sparta Prague,Sparta,791b29,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/433.png,0,cze.sparta_prague
435,Olympiacos,Olympiacos,OLY,Olympiacos,Olympiacos,d01729,0202fb,https://a.espncdn.com/i/teamlogos/soccer/500/435.png,1491,gre.olympiacos
436,Fenerbahce,Fenerbahce,FEN,Fenerbahce,Fenerbahce,ffff00,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/436.png,1810,tur.fenerbahce
437,FC Porto,FC Porto,POR,FC Porto,FC Porto,0000dd,ffa000,https://a.espncdn.com/i/teamlogos/soccer/500/437.png,1467,por.porto
438,Rosenborg,Rosenborg,ROS,Rosenborg,Rosenborg,ffffff,000000,https://a.espncdn.com/i/teamlogos/soccer/500/438.png,1789,nor.rosenborg
440,Dynamo Kyiv,Dynamo Kyiv,KYIV,Dynamo Kyiv,Dynamo Kyiv,ffffff,0000bf,https://a.espncdn.com/i/teamlogos/soccer/500/440.png,0,rus.dynamo-kyiv
441,Anderlecht,Anderlecht,AND,Anderlecht,Anderlecht,695196,fafafc,https://a.espncdn.com/i/teamlogos/soccer/500/441.png,1811,bel.anderlecht
442,Lokomotiv Moscow,Lokomotiv Moscow,LMO,Lokomotiv Moscow,Lokomotiv,03501b,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/442.png,5771,rus.lokomotiv_moscow
443,Panathinaikos,Panathinaikos,PAO,Panathinaikos,Panathinaikos,2b6a36,ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/443.png,2788,gre.panathinaikos
444,Estonia,Estonia,EST,Estonia,Estonia,195ccd,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/est.png,0,est
445,Cyprus,Cyprus,CYP,Cyprus,Cyprus,195ccd,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/cyp.png,5344,cyp
447,Faroe Islands,Faroe Islands,FRO,Faroe Islands,Faroe Islands,ffffff,195ccd,https://a.espncdn.com/i/teamlogos/countries/500/fro.png,5087,fro
448,England,England,ENG,England,England,ffffff,4a2942,https://a.espncdn.com/i/teamlogos/countries/500/eng.png,0,eng
449,Netherlands,Netherlands,NED,Netherlands,Netherlands,fb5d00,010080,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,322,ned
450,Czechia,Czechia,CZE,Czechia,Czechia,d7141a,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/cze.png,9935,cze
451,South Korea,South Korea,KOR,South Korea,South Korea,ce2028,1e4384,https://a.espncdn.com/i/teamlogos/countries/500/kors.png,2712,kors
452,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,Bosnia-Herz,112855,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/bih.png,4432,bih
453,Malta,Malta,MLT,Malta,Malta,DE2400,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/mlt.png,0,mlt
454,Russia,Russia,RUS,Russia,Russia,e4181c,0036a7,https://a.espncdn.com/i/teamlogos/countries/500/rus.png,1224,rus
455,Greece,Greece,GRE,Greece,Greece,295da8,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/gre.png,1492,gre
456,Latvia,Latvia,LVA,Latvia,Latvia,992242,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/lva.png,5088,lva
457,Ukraine,Ukraine,UKR,Ukraine,Ukraine,fede00,0c2fff,https://a.espncdn.com/i/teamlogos/countries/500/ukr.png,6700,ukr
458,Finland,Finland,FIN,Finland,Finland,003580,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/fin.png,5344,fin
459,Belgium,Belgium,BEL,Belgium,Belgium,ef3340,d7e9f6,https://a.espncdn.com/i/teamlogos/countries/500/bel.png,4704,bel
460,Lithuania,Lithuania,LTU,Lithuania,Lithuania,ffe400,DE2918,https://a.espncdn.com/i/teamlogos/countries/500/ltu.png,5344,ltu
461,Israel,Israel,ISR,Israel,Israel,2f4fa2,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/isr.png,4268,isr
462,Bulgaria,Bulgaria,BUL,Bulgaria,Bulgaria,d62612,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/bul.png,5849,bul
463,North Macedonia,North Macedonia,MKD,North Macedonia,North Macedonia,E70000,ddddea,https://a.espncdn.com/i/teamlogos/countries/500/mkd.png,7293,mkd
464,Norway,Norway,NOR,Norway,Norway,ef2b2d,002868,https://a.espncdn.com/i/teamlogos/countries/500/nor.png,1392,nor
465,Turkey,Turkey,TUR,Turkey,Turkey,ffffff,ef3340,https://a.espncdn.com/i/teamlogos/countries/500/tur.png,6480,tur
466,Sweden,Sweden,SWE,Sweden,Sweden,fecb00,006aa7,https://a.espncdn.com/i/teamlogos/countries/500/swe.png,4982,swe
467,South Africa,South Africa,RSA,South Africa,South Africa,087d5a,fbb516,https://a.espncdn.com/i/teamlogos/countries/500/rsa.png,4309,rsa
