seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
12423,2024,"2024 LigaPro Ecuador, First Stage",,660,ECU.1,LigaPro Ecuador,LigaPro Ecuador
12654,2024,2024-25 English Premier League,2024-25-english-premier-league,700,ENG.1,English Premier League,Premier League
12711,2024,"2024-25 English League Championship, Promotion Final",promotion-final,3914,ENG.2,English League Championship,EFL Championship
12713,2024,"2024-25 English League Championship, Regular Season",regular-season,3914,ENG.2,English League Championship,EFL Championship
12712,2024,"2024-25 English League Championship, Promotion Semifinals",promotion-semifinals,3914,ENG.2,English League Championship,EFL Championship
12717,2024,"2024-25 English League One, Promotion Final",promotion-final,3915,ENG.3,English League One,EFL League One
12718,2024,"2024-25 English League One, Promotion Semifinals",promotion-semifinals,3915,ENG.3,English League One,EFL League One
12719,2024,"2024-25 English League One, Regular Season",regular-season,3915,ENG.3,English League One,EFL League One
12716,2024,"2024-25 English League Two, Regular Season",regular-season,3916,ENG.4,English League Two,EFL League Two
12715,2024,"2024-25 English League Two, Promotion Semifinals",promotion-semifinals,3916,ENG.4,English League Two,EFL League Two
12770,2024,"2024-25 English National League, Promotion Semifinals",promotion-semifinals,3917,ENG.5,English National League,National League
12771,2024,"2024-25 English National League, Elimination Round",elimination-round,3917,ENG.5,English National League,National League
12772,2024,"2024-25 English National League, Regular Season",regular-season,3917,ENG.5,English National League,National League
12585,2024,2024 English FA Community Shield,2024-english-fa-community-shield,5329,ENG.CHARITY,English FA Community Shield,Community Shield
12981,2024,"2024-25 English FA Cup, Final",final,3918,ENG.FA,English FA Cup,English FA Cup
12988,2024,"2024-25 English FA Cup, First Round",first-round,3918,ENG.FA,English FA Cup,English FA Cup
12987,2024,"2024-25 English FA Cup, Second Round",second-round,3918,ENG.FA,English FA Cup,English FA Cup
12985,2024,"2024-25 English FA Cup, Fourth Round",fourth-round,3918,ENG.FA,English FA Cup,English FA Cup
